unique_spon_names,normed_spon_names
Tang-Du Hospital,Tang-Du Hospital
Tongde Hospital of Zhejiang Province,Tongde Hospital of Zhejiang Province
"The Third Xiangya Hospital, Central South University","The Third Xiangya Hospital, Central South University"
The First Affiliated Hospital of Zhejiang University of Traditional Chinese Medicine,The First Affiliated Hospital of Zhejiang University of Traditional Chinese Medicine
Shanghai 10th people's hospital,Shanghai 10th people's hospital
Beijing Ditan Hospital,Beijing Ditan Hospital
"Guangzhou reborn health management consultation co., LTD","Guangzhou reborn health management consultation co., LTD"
Xinyang Central Hospital,Xinyang Central Hospital
Tongji Hospital of Tongji University,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
University of Oxford,University of Oxford
The Fourth Hospital of Hebei Medical University,The Fourth Hospital of Hebei Medical University
"Yueyang Hospital of Integrated Traditional Chinese and Western Medicine, Shanghai University of Traditional Chinese Medicine",Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine
Affiliated Hospital of Shandong University of Traditional Chinese Medicine,Affiliated Hospital of Shandong University of Traditional Chinese Medicine
University of Macau,University of Macau
Shenyang Sixth People's Hospita,Shenyang Sixth People's Hospital
"Qingdao East Sea Pharmaceutical Co., Ltd.","Qingdao East Sea Pharmaceutical Co., Ltd."
"Clinical Research Institute, Shenzhen-Peking University-The Hong Kong University of Science & Technology Medical Center",Shenzhen-Peking University; The Hong Kong University of Science & Technology Medical Center
First Affiliated Hospital of Zhejiang University,The First Affiliated Hospital of Zhejiang University
Xi'an Chest Hospital,Xi'an Chest Hospital
Jieming QU,Jieming QU
Hubei Provincial Hospital Of TCM,Hubei Hospital of Traditional Chinese Medicine
The First Hospital of Shanxi Medical University,The First Hospital of Shanxi Medical University
Hebei Yiling Hospital?Renmin Hospital of Wuhan University,Hebei Yiling Hospital; Renmin Hospital of Wuhan University
"Beijing You'an Hospital, Capital Medical University","Beijing You'an Hospital, Capital Medical University"
Central Theater General Hospital of PLA,Central Theater General Hospital of PLA
"CAR-T (Shanghai) Biotechnology Co., Ltd.","CAR-T (Shanghai) Biotechnology Co., Ltd."
"Hunan yuanpin Cell Biotechnology Co., Ltd","Hunan yuanpin Cell Biotechnology Co., Ltd"
Tongji Hospital of Tongji Medical College; Huazhong Science and Technology University,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The Chinese University of Hong Kong,The Chinese University of Hong Kong
"West China Second Hospital, Sichuan University","West China Second Hospital, Sichuan University"
Guangdong Provincial Hospital of Chinese Medicine - Zhuhai Hospital,Guangdong Provincial Hospital of Chinese Medicine - Zhuhai Hospital
"Daping Hospital,Army Medical University","Daping Hospital,Army Medical University"
"Tongji Hospital, Tongji Medical College, Huazhong University of Science & Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The First Hospital of Peking University,The First Hospital of Peking University
Xiangyang First People's Hospital,Xiangyang First People's Hospital
The University of Hong Kong,The University of Hong Kong
"Institute of Integrative Medicine of Dalian Medical University, Dalian, China.","Institute of Integrative Medicine of Dalian Medical University, Dalian, China."
Beijing Geriatric Hospital,Beijing Geriatric Hospital
Second Affiliated Hospital of Wenzhou Medical University,Second Affiliated Hospital of Wenzhou Medical University
"Department of Critical Care Medicine, West China Hospital of Sichuan University",West China Hospital of Sichuan University
Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of science and technology,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
